day,well,type,n,sample,nutrients,dreissena,tea,lagerheimia,synechococcus,phyto,replicate,day_0_chlA,day_0_phycocyanin,day_1_chlA,day_1_phycocyanin,day_2_chlA,day_2_phycocyanin,day_7_chlA,day_7_phycocyanin,Dreissena_length,cells_per_ml
0,A01,algae,116,1,0,0,0,1,1,SL,2,24,77,36,116,38,93,27,21,NA,4640
0,A01,background,336,1,0,0,0,1,1,SL,2,24,77,36,116,38,93,27,21,NA,13440
0,A02,algae,560,2,1,0,0,1,1,SL,1,34,128,43,147,36,191,34,72,NA,22400
0,A02,background,1122,2,1,0,0,1,1,SL,1,34,128,43,147,36,191,34,72,NA,44880
0,A03,algae,117,3,0,1,0,0,1,S,2,12,158,24,178,20,92,17,8,14.49,4680
0,A03,background,1027,3,0,1,0,0,1,S,2,12,158,24,178,20,92,17,8,14.49,41080
0,A04,algae,543,4,1,1,0,1,0,L,3,36,5,20,3,21,3,16,4,15.06,21720
0,A04,background,685,4,1,1,0,1,0,L,3,36,5,20,3,21,3,16,4,15.06,27400
0,A05,algae,520,5,0,1,0,1,1,SL,1,23,70,17,18,19,28,13,5,12.37,20800
0,A05,background,1285,5,0,1,0,1,1,SL,1,23,70,17,18,19,28,13,5,12.37,51400
0,A06,algae,125,6,0,1,0,0,1,S,4,12,148,17,98,22,45,13,5,12.87,5e3
0,A06,background,789,6,0,1,0,0,1,S,4,12,148,17,98,22,45,13,5,12.87,31560
0,A07,algae,151,7,1,0,1,0,1,S,4,24,265,42,337,45,325,16,60,NA,6040
0,A07,background,825,7,1,0,1,0,1,S,4,24,265,42,337,45,325,16,60,NA,33e3
0,A08,algae,417,8,0,1,0,1,0,L,4,37,4,15,4,23,5,26,5,16.08,16680
0,A08,background,485,8,0,1,0,1,0,L,4,37,4,15,4,23,5,26,5,16.08,19400
0,A09,algae,373,9,1,1,0,1,1,SL,4,33,126,29,144,56,210,24,5,14.23,14920
0,A09,background,596,9,1,1,0,1,1,SL,4,33,126,29,144,56,210,24,5,14.23,23840
